rs10	1	-0.46456	0.087818	0.11874	0.14559	0.14901	0.13318	-0.037608	-3.2655e-06	-0.074079
rs80	-0.46456	1	0.3161	0.17062	-0.22118	-0.22624	0.14055	0.36498	0.11089	0.022537
rs140	0.087818	0.3161	1	0.536	-0.21424	-0.21564	0.52271	0.67978	0.020241	-0.070264
rs170	0.11874	0.17062	0.536	1	0.40625	0.40629	0.98491	0.5143	0.13417	0.08651
rs172	0.14559	-0.22118	-0.21424	0.40625	1	0.9982	0.41172	-0.52404	-0.060529	-0.067801
rs174	0.14901	-0.22624	-0.21564	0.40629	0.9982	1	0.41163	-0.52245	-0.064109	-0.070563
rs176	0.13318	0.14055	0.52271	0.98491	0.41172	0.41163	1	0.49788	0.1449	0.09386
rs178	-0.037608	0.36498	0.67978	0.5143	-0.52404	-0.52245	0.49788	1	0.17561	0.13778
rs180	-3.2655e-06	0.11089	0.020241	0.13417	-0.060529	-0.064109	0.1449	0.17561	1	0.70944
rs200	-0.074079	0.022537	-0.070264	0.08651	-0.067801	-0.070563	0.09386	0.13778	0.70944	1
