SNP_id	allele_0	allele_1	trait1_b	trait1_se	trait2_b	trait2_se	trait3_b	trait3_se	trait4_b	trait4_se	trait5_b	trait5_se	trait6_b	trait6_se	trait7_b	trait7_se	trait8_b	trait8_se	trait9_b	trait9_se	trait10_b	trait10_se
rs10	G	T	0.0147415313171727	0.0314385301258221	0.0153733815418267	0.031339967313793	0.000935806935705527	0.0311490809539945	0.011659484944889	0.0312913323748793	0.00919225954642927	0.0312418651423588	0.0209297922197956	0.0326869817416649	0.00922079981193443	0.0315719709685618	0.0218872163515699	0.0321845058006023	0.0188915984402575	0.0321787868309099	0.0107684490982905	0.0326513937348669
rs80	G	T	-0.0345176337273299	0.0385327035720604	-0.0381215945077729	0.0384103452841355	-0.0453236545805272	0.0381700476918756	-0.0404587408820224	0.038348533066655	-0.0422973855522553	0.0382863799857066	-0.0205069531026061	0.0400701955181549	-0.0375519034718342	0.0386936033649884	-0.0261439061226569	0.0394529909219409	-0.0291644398802477	0.0394437560178691	-0.0104756600535945	0.0400254893392952
rs140	A	C	0.0548949908759411	0.0309031905874935	0.0530046803133154	0.0308079699566488	0.0285849071445994	0.0306344855886494	0.0479352566869178	0.0307634679509636	0.0428685604087171	0.0307181221453569	0.097595225594977	0.0320830663037751	0.0631420044932662	0.0310256684411036	0.0991663370620021	0.031585539453944	0.0934510885608386	0.0315876864356021	0.0967620870247968	0.032046811778363
rs170	A	T	-0.00116612297292168	0.0342583927107478	-0.00662212084967959	0.0341508553063727	-0.0356356936145679	0.0339317672323382	-0.0131417131309063	0.0340960431163086	-0.0194692325577389	0.0340401757912538	0.0500685630369642	0.0356029122015188	-0.00115173133611721	0.034402644303059	0.0459598916039627	0.0350583427485785	0.0368759202319968	0.035056445675089	0.0622710845474415	0.0355517799713838
rs172	A	T	-0.0503556728405826	0.0364355353118514	-0.055991491208093	0.0363172561637674	-0.0599301931659144	0.036090456423703	-0.054748912611148	0.0362608551411248	-0.0570470125357923	0.0362012163023091	-0.0351131229891332	0.0378941873266519	-0.0571876050083338	0.0365840746937757	-0.0466947596255551	0.0373055469863348	-0.0479009883892438	0.0372970469979522	-0.019457257288143	0.0378557062264801
rs174	T	G	-0.0501388435418365	0.0364298539018701	-0.0557190655223089	0.0363116523765908	-0.0593889833712554	0.0360851259492471	-0.0544180682869066	0.0362553002274851	-0.0566474719153883	0.0361957351116633	-0.0352781511819515	0.0378880492524953	-0.0568569595117221	0.0365784762457588	-0.0468109623934798	0.0372995047811995	-0.0478850743476733	0.0372910890350846	-0.0197811648975075	0.0378495688032943
rs176	G	T	-0.00110365993933155	0.035232965543179	-0.00616480193205186	0.0351224270818036	-0.0329985622956212	0.0348988701651159	-0.0123458405669302	0.0350662118025175	-0.0180626979519522	0.035009073003895	0.0498763140348636	0.03661685187344	-3.51430901159402e-05	0.0353813291068816	0.0462769234732784	0.0360563137604721	0.0374367065021606	0.0360539750818996	0.0618761599294666	0.0365650120985498
rs178	A	G	0.040051297519438	0.0337655210518933	0.041280008435047	0.0336590202176362	0.0253283233041603	0.0334597934654359	0.0352646936734609	0.0336093190619184	0.0331443422766804	0.0335568007216538	0.0678428914432373	0.0350875973357383	0.0479640432197766	0.0339026565413105	0.0765624854974702	0.0345385335404646	0.0702525444283146	0.0345380737940639	0.0689281860703438	0.0350456175935851
rs180	A	G	0.00340096690882159	0.0358221181293333	0.00133441126861668	0.0357100659018759	-0.0326911342064423	0.0354829089007845	-0.00914643328465253	0.0356531663921519	-0.0145792081318575	0.0355954300746467	0.0239841305023559	0.0372426366561749	-0.00856226410806731	0.0359725248834729	0.014327356607434	0.0366730160342328	0.00744798932874047	0.0366664405651451	0.0237361074844043	0.0371993553772206
rs200	G	A	-0.0131538706625835	0.0317506226312071	-0.0169643340431777	0.0316503298336815	-0.0276561013873748	0.0314518423966515	-0.0185701811052236	0.0315999493126513	-0.0207339684194413	0.0315488982476943	-0.0222526523531167	0.0330107024189984	-0.0343836865139859	0.0318764039398261	-0.0363256164233839	0.0324972130930338	-0.0363843529544267	0.0324904437614796	-0.00838793705323676	0.0329754920455458
